^ < c a z z e g g i a r e [ V,COND,1,SG ] INS(i) > $
^ < i n z e p p a [ V,SBJV,PST,1,SG ] DEL(re) > $
^ < i n z e p p a r e [ V,SBJV,PST,1,SG ] INS(ssi) > $
^ < s t r a b i l [ V,IND,FUT,1,SG ] DEL(iar) e > $
^ < s t r a b i l i a r e [ V,IND,FUT,1,SG ] INS(rò) > $
^ < d i s v o l g [ V,SBJV,PRS,1,SG ] DEL(ere) > $
^ < d i s v o l g e r e [ V,SBJV,PRS,1,SG ] INS(a) > $
^ < a r g o m e n t a [ V,IND,PST,2,SG,PFV ] DEL(re) > $
^ < a r g o m e n t a r e [ V,IND,PST,2,SG,PFV ] INS(sti) > $
^ < s c i o [ V,POS,IMP,3,SG ] INS(l) g l i e r s i > $
^ < s c i o g [ V,POS,IMP,3,SG ] DEL(liersi) > $
^ < s c i o g l i e r s i [ V,POS,IMP,3,SG ] INS(a) > $
^ < c o r c a [ V,IND,PST,1,SG,IPFV ] DEL(re) > $
^ < c o r c a r e [ V,IND,PST,1,SG,IPFV ] INS(vo) > $
^ < u m i l i [ V,IND,FUT,3,SG ] DEL(ar) e > $
^ < u m i l i a r e [ V,IND,FUT,3,SG ] INS(rà) > $
^ < e s t r a [ V,SBJV,PST,1,PL ] DEL(rr) e > $
^ < e s t r a r r e [ V,SBJV,PST,1,PL ] INS(ssimo) > $
^ < c o m p [ V,IND,PST,2,SG,IPFV ] INS(iv) i e r e > $
^ < c o m p i [ V,IND,PST,2,SG,IPFV ] DEL(ere) > $
^ < r i c o v e r a [ V,IND,PST,2,SG,IPFV ] DEL(rs) i > $
^ < r i c o v e r a r s [ V,IND,PST,2,SG,IPFV ] INS(v) i > $
^ < r i n s a n g u a [ V,IND,PST,2,PL,IPFV ] DEL(r) e > $
^ < r i n s a n g u a r [ V,IND,PST,2,PL,IPFV ] INS(vat) e > $
^ < a s s i s t e r e [ V,COND,1,SG ] INS(i) > $
^ < s a n [ V,SBJV,PRS,2,SG ] DEL(are) > $
^ < s a n a r e [ V,SBJV,PRS,2,SG ] INS(i) > $
^ < a z z e r a [ V.CVB,PRS ] DEL(re) > $
^ < a z z e r a r e [ V.CVB,PRS ] INS(ndo) > $
^ < g l o g l o t t [ V,COND,2,PL ] DEL(a) r e > $
^ < g l o g l o t t a [ V,COND,2,PL ] INS(e) r e > $
^ < g l o g l o t t a r [ V,COND,2,PL ] INS(est) e > $
^ < t a n g [ V,POS,IMP,2,SG ] DEL(ere) > $
^ < t a n g e r e [ V,POS,IMP,2,SG ] INS(i) > $
^ < i n v i g o r i [ V,SBJV,PRS,3,SG ] DEL(re) > $
^ < i n v i g o r i r e [ V,SBJV,PRS,3,SG ] INS(sca) > $
^ < i n n a m o r a [ V,IND,PST,2,SG,IPFV ] DEL(re) > $
^ < i n n a m o r a r e [ V,IND,PST,2,SG,IPFV ] INS(vi) > $
^ < o s p e d a l i z z [ V,IND,PST,3,SG,PFV ] DEL(are) > $
^ < o s p e d a l i z z a r e [ V,IND,PST,3,SG,PFV ] INS(ò) > $
^ < p i e g [ V,COND,1,PL ] DEL(a) r e > $
^ < p i e g a [ V,COND,1,PL ] INS(he) r e > $
^ < p i e g a r e [ V,COND,1,PL ] INS(mmo) > $
^ < f o r m [ V,POS,IMP,3,PL ] DEL(are) > $
^ < f o r m a r e [ V,POS,IMP,3,PL ] INS(ino) > $
^ < r a s s u m [ V,IND,PST,2,SG,PFV ] DEL(er) e > $
^ < r a s s u m e r e [ V,IND,PST,2,SG,PFV ] INS(sti) > $
^ < s t e r m i n a [ V,IND,PST,2,PL,IPFV ] DEL(r) e > $
^ < s t e r m i n a r [ V,IND,PST,2,PL,IPFV ] INS(vat) e > $
^ < i n c u r i o s i [ V,SBJV,PRS,3,PL ] DEL(r) s i > $
^ < i n c u r i o s i r s [ V,SBJV,PRS,3,PL ] DEL(i) > $
^ < i n c u r i o s i r s i [ V,SBJV,PRS,3,PL ] INS(cano) > $
^ < s f a r i n a [ V,IND,PRS,3,PL ] DEL(rsi) > $
^ < s f a r i n a r s i [ V,IND,PRS,3,PL ] INS(no) > $
^ < m e t a f o r i z z a [ V,IND,PST,1,PL,IPFV ] DEL(re) > $
^ < m e t a f o r i z z a r e [ V,IND,PST,1,PL,IPFV ] INS(vamo) > $
^ < p a v i m e n t a [ V,SBJV,PST,3,PL ] INS(sse) r e > $
^ < p a v i m e n t a r [ V,SBJV,PST,3,PL ] DEL(e) > $
^ < p a v i m e n t a r e [ V,SBJV,PST,3,PL ] INS(o) > $
^ < d o p p i [ V,IND,FUT,2,SG ] DEL(ar) e > $
^ < d o p p i a r e [ V,IND,FUT,2,SG ] INS(rai) > $
^ < s c e m p i a [ V,SBJV,PST,3,SG ] DEL(r) e > $
^ < s c e m p i a r [ V,SBJV,PST,3,SG ] INS(ss) e > $
^ < p o t a b i l i z z a [ V,SBJV,PST,2,PL ] DEL(r) e > $
^ < p o t a b i l i z z a r [ V,SBJV,PST,2,PL ] INS(st) e > $
^ < d i s i n t e g r [ V,IND,FUT,1,PL ] DEL(arsi) > $
^ < d i s i n t e g r a r s i [ V,IND,FUT,1,PL ] INS(eremo) > $
^ < r a b b o n [ V.CVB,PRS ] DEL(ir) e > $
^ < r a b b o n i r e [ V.CVB,PRS ] INS(ndo) > $
^ < s a g g i n a [ V,SBJV,PST,3,SG ] DEL(r) e > $
^ < s a g g i n a r [ V,SBJV,PST,3,SG ] INS(ss) e > $
^ < c o s t u d i r e [ V,COND,3,PL ] INS(bbero) > $
^ < s c a r n i [ V,SBJV,PST,3,SG ] DEL(r) e > $
^ < s c a r n i r [ V,SBJV,PST,3,SG ] INS(ss) e > $
^ < s i m u l a [ V,SBJV,PST,3,PL ] INS(sse) r e > $
^ < s i m u l a r [ V,SBJV,PST,3,PL ] DEL(e) > $
^ < s i m u l a r e [ V,SBJV,PST,3,PL ] INS(o) > $
^ < a s c i o l v e r [ V,IND,FUT,2,PL ] INS(et) e > $
^ < v e l l u t a [ V,POS,IMP,2,SG ] DEL(re) > $
^ < s p o g l i [ V,IND,FUT,2,SG ] INS(er) a r s i > $
^ < s p o g l i a [ V,IND,FUT,2,SG ] DEL(rs) i > $
^ < g i r o n d o l a [ V,IND,PST,2,SG,IPFV ] DEL(re) > $
^ < g i r o n d o l a r e [ V,IND,PST,2,SG,IPFV ] INS(vi) > $
^ < a t t i n g e r [ V,IND,FUT,3,SG ] DEL(si) > $
^ < a t t i n g e r s i [ V,IND,FUT,3,SG ] INS(à) > $
^ < o n d u l a [ V,SBJV,PST,1,PL ] DEL(re) > $
^ < o n d u l a r e [ V,SBJV,PST,1,PL ] INS(ssimo) > $
^ < f r e n [ V,COND,1,PL ] DEL(arsi) > $
^ < f r e n a r s i [ V,COND,1,PL ] INS(eremmo) > $
^ < v e n d i c a [ V,SBJV,PST,2,PL ] DEL(r) e > $
^ < v e n d i c a r [ V,SBJV,PST,2,PL ] INS(st) e > $
^ < s m e t t [ V,POS,IMP,3,PL ] DEL(erl) a > $
^ < s m e t t e r l a [ V,POS,IMP,3,PL ] INS(no) > $
^ < d i s i m p e g n [ V,IND,FUT,2,PL ] DEL(arsi) > $
^ < d i s i m p e g n a r s i [ V,IND,FUT,2,PL ] INS(erete) > $
^ < s g o n f i a [ V,SBJV,PST,2,PL ] DEL(r) e > $
^ < s g o n f i a r [ V,SBJV,PST,2,PL ] INS(st) e > $
^ < b a s t [ V,SBJV,PST,2,SG ] INS(iss) i r e > $
^ < b a s t i [ V,SBJV,PST,2,SG ] DEL(re) > $
^ < o b l i a [ V.PTCP,PRS ] DEL(r) e > $
^ < o b l i a r [ V.PTCP,PRS ] INS(nt) e > $
^ < r i p u d i a [ V,POS,IMP,2,SG ] DEL(re) > $
^ < t r a s o g n [ V,IND,FUT,1,PL ] DEL(a) r e > $
^ < t r a s o g n a [ V,IND,FUT,1,PL ] INS(e) r e > $
^ < t r a s o g n a r e [ V,IND,FUT,1,PL ] INS(mo) > $
^ < c o n c e d [ V,POS,IMP,2,SG ] DEL(ere) > $
^ < c o n c e d e r e [ V,POS,IMP,2,SG ] INS(i) > $
^ < r e i m p i a n t [ V,IND,FUT,2,PL ] DEL(a) r e > $
^ < r e i m p i a n t a [ V,IND,FUT,2,PL ] INS(e) r e > $
^ < r e i m p i a n t a r [ V,IND,FUT,2,PL ] INS(et) e > $
^ < s c r i v e [ V,IND,PST,2,SG,IPFV ] DEL(rs) i > $
^ < s c r i v e r s [ V,IND,PST,2,SG,IPFV ] INS(v) i > $
^ < o r n a [ V,SBJV,PST,3,SG ] DEL(r) e > $
^ < o r n a r [ V,SBJV,PST,3,SG ] INS(ss) e > $
^ < n u c l e a r i z z [ V,IND,PRS,2,SG ] DEL(are) > $
^ < n u c l e a r i z z a r e [ V,IND,PRS,2,SG ] INS(i) > $
^ < i b r i d [ V,COND,3,SG ] DEL(a) r e > $
^ < i b r i d a [ V,COND,3,SG ] INS(e) r e > $
^ < i b r i d a r [ V,COND,3,SG ] INS(ebb) e > $
^ < m a n s u e f a [ V,SBJV,PRS,2,PL ] DEL(rs) i > $
^ < m a n s u e f a r s [ V,SBJV,PRS,2,PL ] INS(cc) i > $
^ < m a n s u e f a r s i [ V,SBJV,PRS,2,PL ] INS(ate) > $
^ < t e s t i f i c a [ V,SBJV,PST,1,PL ] DEL(re) > $
^ < t e s t i f i c a r e [ V,SBJV,PST,1,PL ] INS(ssimo) > $
^ < a d d e b b i [ V,IND,FUT,2,PL ] DEL(a) r e > $
^ < a d d e b b i a [ V,IND,FUT,2,PL ] INS(e) r e > $
^ < a d d e b b i a r [ V,IND,FUT,2,PL ] INS(et) e > $
^ < s m a l i z i [ V,IND,FUT,3,SG ] DEL(ar) e > $
^ < s m a l i z i a r e [ V,IND,FUT,3,SG ] INS(rà) > $
^ < c r u c c i a [ V,IND,PST,1,SG,IPFV ] DEL(rsi) > $
^ < c r u c c i a r s i [ V,IND,PST,1,SG,IPFV ] INS(vo) > $
^ < t r i v e l l [ V,IND,FUT,2,SG ] DEL(ar) e > $
^ < t r i v e l l a r e [ V,IND,FUT,2,SG ] INS(rai) > $
^ < s m e m b r a [ V,POS,IMP,2,SG ] DEL(re) > $
^ < c a r e z z [ V,SBJV,PRS,2,PL ] DEL(ars) i > $
^ < c a r e z z a r s i [ V,SBJV,PRS,2,PL ] INS(ate) > $
^ < i l l a n g u i d [ V,IND,PST,3,SG,PFV ] DEL(ire) > $
^ < i l l a n g u i d i r e [ V,IND,PST,3,SG,PFV ] INS(ì) > $
^ < s t o r c e [ V.PTCP,PRS ] DEL(r) e > $
^ < s t o r c e r [ V.PTCP,PRS ] INS(nt) e > $
^ < d e p o l v e r i z z a [ V,IND,PST,1,PL,PFV ] DEL(re) > $
^ < d e p o l v e r i z z a r e [ V,IND,PST,1,PL,PFV ] INS(mmo) > $
^ < r e f r a n g [ V,POS,IMP,3,SG ] DEL(ere) > $
^ < r e f r a n g e r e [ V,POS,IMP,3,SG ] INS(a) > $
^ < i n t e r p r e t [ V,IND,FUT,2,SG ] DEL(ar) e > $
^ < i n t e r p r e t a r e [ V,IND,FUT,2,SG ] INS(rai) > $
^ < c o r t e a [ V,IND,PST,2,SG,IPFV ] DEL(re) > $
^ < c o r t e a r e [ V,IND,PST,2,SG,IPFV ] INS(vi) > $
^ < a d d i m e s t i c a [ V,IND,PST,3,PL,IPFV ] DEL(re) > $
^ < a d d i m e s t i c a r e [ V,IND,PST,3,PL,IPFV ] INS(vano) > $
^ < a t t e n d [ V,IND,PST,3,SG,IPFV ] DEL(er) e > $
^ < a t t e n d e r e [ V,IND,PST,3,SG,IPFV ] INS(va) > $
^ < r i t o r c [ V,IND,PST,1,PL,PFV ] DEL(er) e > $
^ < r i t o r c e r e [ V,IND,PST,1,PL,PFV ] INS(mmo) > $
^ < i m p u z z o l e n t i [ V,POS,IMP,3,PL ] DEL(re) > $
^ < i m p u z z o l e n t i r e [ V,POS,IMP,3,PL ] INS(scano) > $
^ < r o m b a [ V,SBJV,PST,3,SG ] DEL(r) e > $
^ < r o m b a r [ V,SBJV,PST,3,SG ] INS(ss) e > $
^ < i n t e r v i s t [ V,SBJV,PRS,2,PL ] INS(i) a r e > $
^ < i n t e r v i s t a [ V,SBJV,PRS,2,PL ] DEL(r) e > $
^ < i n t e r v i s t a r [ V,SBJV,PRS,2,PL ] INS(t) e > $
^ < c a r a c o l l [ V,POS,IMP,3,SG ] DEL(are) > $
^ < c a r a c o l l a r e [ V,POS,IMP,3,SG ] INS(i) > $
^ < u c c i d e r [ V,COND,2,PL ] INS(est) e > $
^ < a p p o [ V,SBJV,PRS,2,SG ] DEL(rre) > $
^ < a p p o r r e [ V,SBJV,PRS,2,SG ] INS(nga) > $
^ < t r a n s i t a [ V,SBJV,PST,1,PL ] DEL(re) > $
^ < t r a n s i t a r e [ V,SBJV,PST,1,PL ] INS(ssimo) > $
^ < r i s o s p e [ V,IND,PST,3,PL,PFV ] DEL(nd) e r e > $
^ < r i s o s p e n d [ V,IND,PST,3,PL,PFV ] INS(s) e r e > $
^ < r i s o s p e n d e r [ V,IND,PST,3,PL,PFV ] DEL(e) > $
^ < r i s o s p e n d e r e [ V,IND,PST,3,PL,PFV ] INS(o) > $
^ < s o s t a n t i v [ V,POS,IMP,1,PL ] INS(i) a r e > $
^ < s o s t a n t i v a [ V,POS,IMP,1,PL ] DEL(re) > $
^ < s o s t a n t i v a r e [ V,POS,IMP,1,PL ] INS(mo) > $
^ < s u b i [ V,POS,IMP,2,SG ] DEL(r) s i > $
^ < s u b i r s [ V,POS,IMP,2,SG ] INS(cit) i > $
^ < a p p e n d [ V,IND,PRS,1,SG ] DEL(ersi) > $
^ < a p p e n d e r s i [ V,IND,PRS,1,SG ] INS(o) > $
^ < i n z u p p [ V,IND,PRS,1,PL ] INS(i) a r e > $
^ < i n z u p p a [ V,IND,PRS,1,PL ] DEL(re) > $
^ < i n z u p p a r e [ V,IND,PRS,1,PL ] INS(mo) > $
^ < c o n f u t a [ V,IND,PRS,3,SG ] DEL(re) > $
^ < r o m a n t i c i z z [ V,COND,1,PL ] DEL(a) r e > $
^ < r o m a n t i c i z z a [ V,COND,1,PL ] INS(e) r e > $
^ < r o m a n t i c i z z a r e [ V,COND,1,PL ] INS(mmo) > $
^ < o f f r i [ V,SBJV,PST,1,PL ] DEL(re) > $
^ < o f f r i r e [ V,SBJV,PST,1,PL ] INS(ssimo) > $
^ < c o r r o m p e [ V,IND,PST,1,PL,IPFV ] DEL(rsi) > $
^ < c o r r o m p e r s i [ V,IND,PST,1,PL,IPFV ] INS(vamo) > $
^ < p r o v e n [ V,IND,PST,2,SG,PFV ] INS(ist) i r e > $
^ < p r o v e n i [ V,IND,PST,2,SG,PFV ] DEL(re) > $
^ < i m p i e t r i r [ V,COND,3,SG ] INS(ebb) e > $
^ < o s c i l l a [ V,IND,PRS,3,PL ] DEL(re) > $
^ < o s c i l l a r e [ V,IND,PRS,3,PL ] INS(no) > $
^ < c o n t o r n a [ V,POS,IMP,2,PL ] DEL(r) e > $
^ < c o n t o r n a r [ V,POS,IMP,2,PL ] INS(t) e > $
^ < c a z z a [ V,IND,PST,2,PL,IPFV ] DEL(r) e > $
^ < c a z z a r [ V,IND,PST,2,PL,IPFV ] INS(vat) e > $
^ < s c o m m [ V,IND,PST,3,PL,PFV ] DEL(ett) e r e > $
^ < s c o m m e t t [ V,IND,PST,3,PL,PFV ] INS(is) e r e > $
^ < s c o m m e t t e r [ V,IND,PST,3,PL,PFV ] DEL(e) > $
^ < s c o m m e t t e r e [ V,IND,PST,3,PL,PFV ] INS(o) > $
^ < s c a f [ V,IND,FUT,3,SG ] DEL(ar) e > $
^ < s c a f a r e [ V,IND,FUT,3,SG ] INS(rà) > $
^ < r i n c a r n a [ V,IND,PST,3,PL,IPFV ] DEL(rsi) > $
^ < r i n c a r n a r s i [ V,IND,PST,3,PL,IPFV ] INS(vano) > $
^ < r i a c c o s t a [ V,IND,PST,1,PL,PFV ] DEL(re) > $
^ < r i a c c o s t a r e [ V,IND,PST,1,PL,PFV ] INS(mmo) > $
^ < r a p p a c i f i c a [ V,POS,IMP,2,SG ] DEL(rs) i > $
^ < r a p p a c i f i c a r s [ V,POS,IMP,2,SG ] INS(t) i > $
^ < s c a l f [ V,IND,PRS,2,PL ] DEL(irs) i > $
^ < s c a l f i r s i [ V,IND,PRS,2,PL ] INS(te) > $
^ < i m b r a t t a [ V,IND,PST,2,PL,PFV ] DEL(r) s i > $
^ < i m b r a t t a r s [ V,IND,PST,2,PL,PFV ] DEL(i) > $
^ < i m b r a t t a r s i [ V,IND,PST,2,PL,PFV ] INS(te) > $
^ < r i f o r g [ V,COND,3,PL ] DEL(ia) r e > $
^ < r i f o r g i a [ V,COND,3,PL ] INS(e) r e > $
^ < r i f o r g i a r e [ V,COND,3,PL ] INS(bbero) > $
^ < f e r m [ V,IND,FUT,3,SG ] DEL(ar) e > $
^ < f e r m a r e [ V,IND,FUT,3,SG ] INS(rà) > $
^ < s h a k e [ V,IND,FUT,3,SG ] DEL(ra) r e > $
^ < s h a k e r a r e [ V,IND,FUT,3,SG ] INS(rà) > $
^ < i n d i v i d u a [ V,IND,PRS,3,SG ] DEL(rsi) > $
^ < r i n n e g a [ V,SBJV,PST,3,SG ] DEL(r) e > $
^ < r i n n e g a r [ V,SBJV,PST,3,SG ] INS(ss) e > $
^ < s c h i a c c i a [ V,IND,PRS,3,PL ] DEL(rsi) > $
^ < s c h i a c c i a r s i [ V,IND,PRS,3,PL ] INS(no) > $
^ < i n f l a z i o n a [ V,IND,PST,1,SG,IPFV ] DEL(re) > $
^ < i n f l a z i o n a r e [ V,IND,PST,1,SG,IPFV ] INS(vo) > $
^ < i n f e u d [ V,IND,PST,3,SG,IPFV ] INS(av) a r e > $
^ < i n f e u d a [ V,IND,PST,3,SG,IPFV ] DEL(re) > $
^ < i n t e n e r i [ V.PTCP,PST ] DEL(re) > $
^ < i n t e n e r i r e [ V.PTCP,PST ] INS(to) > $
^ < d i r a d a [ V,IND,PRS,3,SG ] DEL(rsi) > $
^ < s f i o r a [ V,IND,PRS,3,PL ] DEL(re) > $
^ < s f i o r a r e [ V,IND,PRS,3,PL ] INS(no) > $
^ < i n f i t t i r [ V,IND,FUT,3,SG ] DEL(e) > $
^ < i n f i t t i r e [ V,IND,FUT,3,SG ] INS(à) > $
^ < e r g e r [ V,COND,2,PL ] INS(e) s i > $
^ < e r g e r s [ V,COND,2,PL ] DEL(i) > $
^ < e r g e r s i [ V,COND,2,PL ] INS(te) > $
^ < c o s t e l l [ V,SBJV,PRS,3,SG ] DEL(are) > $
^ < c o s t e l l a r e [ V,SBJV,PRS,3,SG ] INS(i) > $
^ < p i a z z [ V,COND,2,SG ] DEL(a) r s i > $
^ < p i a z z a [ V,COND,2,SG ] INS(e) r s i > $
^ < p i a z z a r [ V,COND,2,SG ] INS(e) s i > $
^ < p i a z z a r s [ V,COND,2,SG ] INS(t) i > $
^ < s u s s u r r a [ V,IND,PST,2,PL,IPFV ] DEL(rsi) > $
^ < s u s s u r r a r s i [ V,IND,PST,2,PL,IPFV ] INS(vate) > $
^ < s t r a v a c c a [ V,IND,PST,2,SG,PFV ] DEL(r) s i > $
^ < s t r a v a c c a r s [ V,IND,PST,2,SG,PFV ] INS(t) i > $
^ < a d d e n t [ V,IND,PRS,1,SG ] DEL(are) > $
^ < a d d e n t a r e [ V,IND,PRS,1,SG ] INS(o) > $
^ < s p e g n a [ V,IND,PST,1,PL,IPFV ] DEL(re) > $
^ < s p e g n a r e [ V,IND,PST,1,PL,IPFV ] INS(vamo) > $
^ < d i p a n a [ V,SBJV,PST,3,SG ] DEL(r) e > $
^ < d i p a n a r [ V,SBJV,PST,3,SG ] INS(ss) e > $
^ < s v i g o r i [ V,SBJV,PRS,3,PL ] DEL(re) > $
^ < s v i g o r i r e [ V,SBJV,PRS,3,PL ] INS(scano) > $
^ < a m b i e n t a [ V,SBJV,PST,3,PL ] INS(sse) r e > $
^ < a m b i e n t a r [ V,SBJV,PST,3,PL ] DEL(e) > $
^ < a m b i e n t a r e [ V,SBJV,PST,3,PL ] INS(o) > $
^ < s c o n f i n [ V,POS,IMP,3,PL ] DEL(are) > $
^ < s c o n f i n a r e [ V,POS,IMP,3,PL ] INS(ino) > $
^ < r o d a [ V,IND,PST,2,PL,IPFV ] DEL(r) e > $
^ < r o d a r [ V,IND,PST,2,PL,IPFV ] INS(vat) e > $
^ < i n c a r t o c c i a [ V,SBJV,PST,2,PL ] DEL(r) e > $
^ < i n c a r t o c c i a r [ V,SBJV,PST,2,PL ] INS(st) e > $
^ < c a l a f a t [ V,IND,PST,3,SG,IPFV ] INS(av) a r e > $
^ < c a l a f a t a [ V,IND,PST,3,SG,IPFV ] DEL(re) > $
^ < e p i c u r e g g i a [ V,IND,PST,2,SG,PFV ] DEL(re) > $
^ < e p i c u r e g g i a r e [ V,IND,PST,2,SG,PFV ] INS(sti) > $
^ < t e r m i n [ V,IND,FUT,1,PL ] DEL(a) r e > $
^ < t e r m i n a [ V,IND,FUT,1,PL ] INS(e) r e > $
^ < t e r m i n a r e [ V,IND,FUT,1,PL ] INS(mo) > $
^ < i n c a p a r b i [ V,IND,PST,1,PL,PFV ] DEL(re) > $
^ < i n c a p a r b i r e [ V,IND,PST,1,PL,PFV ] INS(mmo) > $
^ < g u a r n i [ V,IND,PRS,3,SG ] DEL(r) e > $
^ < g u a r n i r [ V,IND,PRS,3,SG ] INS(sc) e > $
^ < i s p e z i o n a [ V,POS,IMP,2,PL ] DEL(r) e > $
^ < i s p e z i o n a r [ V,POS,IMP,2,PL ] INS(t) e > $
^ < l a s c a [ V,IND,PST,2,SG,PFV ] DEL(re) > $
^ < l a s c a r e [ V,IND,PST,2,SG,PFV ] INS(sti) > $
^ < f l i p p [ V,IND,PST,3,SG,PFV ] DEL(are) > $
^ < f l i p p a r e [ V,IND,PST,3,SG,PFV ] INS(ò) > $
^ < i t a l i a n i z z [ V,IND,FUT,2,SG ] INS(er) a r s i > $
^ < i t a l i a n i z z a [ V,IND,FUT,2,SG ] DEL(rs) i > $
^ < f u m e g g i [ V,SBJV,PRS,1,SG ] DEL(are) > $
^ < l a c e r a [ V,IND,PST,1,SG,PFV ] DEL(re) > $
^ < l a c e r a r e [ V,IND,PST,1,SG,PFV ] INS(i) > $
^ < s b a f [ V,IND,FUT,1,SG ] DEL(ar) e > $
^ < s b a f a r e [ V,IND,FUT,1,SG ] INS(rò) > $
^ < r e g o l a r i z z [ V,SBJV,PRS,1,PL ] INS(i) a r e > $
^ < r e g o l a r i z z a [ V,SBJV,PRS,1,PL ] DEL(re) > $
^ < r e g o l a r i z z a r e [ V,SBJV,PRS,1,PL ] INS(mo) > $
^ < r a g g [ V,COND,1,PL ] DEL(ia) r e > $
^ < r a g g i a [ V,COND,1,PL ] INS(e) r e > $
^ < r a g g i a r e [ V,COND,1,PL ] INS(mmo) > $
^ < d i e s i z z [ V,COND,3,SG ] DEL(a) r e > $
^ < d i e s i z z a [ V,COND,3,SG ] INS(e) r e > $
^ < d i e s i z z a r [ V,COND,3,SG ] INS(ebb) e > $
^ < r e s t r i n g e [ V,IND,PST,3,SG,IPFV ] DEL(rsi) > $
^ < r e s t r i n g e r s i [ V,IND,PST,3,SG,IPFV ] INS(va) > $
^ < r i g i a c [ V,IND,PRS,1,SG ] DEL(ere) > $
^ < r i g i a c e r e [ V,IND,PRS,1,SG ] INS(cio) > $
^ < d i s c o p r i [ V,SBJV,PST,3,PL ] INS(sse) r e > $
^ < d i s c o p r i r [ V,SBJV,PST,3,PL ] DEL(e) > $
^ < d i s c o p r i r e [ V,SBJV,PST,3,PL ] INS(o) > $
^ < d i s c o n o s c [ V.PTCP,PST ] DEL(ere) > $
^ < d i s c o n o s c e r e [ V.PTCP,PST ] INS(iuto) > $
^ < a r m o n i z z [ V,POS,IMP,3,SG ] DEL(ars) i > $
^ < e l a r g i r e [ V,COND,1,SG ] INS(i) > $
^ < r i c o n v o c [ V,COND,2,PL ] DEL(a) r e > $
^ < r i c o n v o c a [ V,COND,2,PL ] INS(he) r e > $
^ < r i c o n v o c a r [ V,COND,2,PL ] INS(est) e > $
^ < c o r i c [ V,IND,PST,3,SG,PFV ] DEL(are) > $
^ < c o r i c a r e [ V,IND,PST,3,SG,PFV ] INS(ò) > $
^ < a b b a t u f f o l [ V,COND,3,PL ] DEL(a) r e > $
^ < a b b a t u f f o l a [ V,COND,3,PL ] INS(e) r e > $
^ < a b b a t u f f o l a r e [ V,COND,3,PL ] INS(bbero) > $
^ < a c c u m u l a [ V.CVB,PRS ] DEL(r) s i > $
^ < a c c u m u l a r [ V.CVB,PRS ] INS(ndo) s i > $
^ < a f f i g l i [ V,COND,3,SG ] DEL(a) r e > $
^ < a f f i g l i a [ V,COND,3,SG ] INS(e) r e > $
^ < a f f i g l i a r [ V,COND,3,SG ] INS(ebb) e > $
^ < s p i e g a z z a [ V,IND,PST,1,PL,IPFV ] DEL(re) > $
^ < s p i e g a z z a r e [ V,IND,PST,1,PL,IPFV ] INS(vamo) > $
^ < s f a r f a l l a [ V,SBJV,PST,2,SG ] DEL(re) > $
^ < s f a r f a l l a r e [ V,SBJV,PST,2,SG ] INS(ssi) > $
^ < c a r b o n i z z a [ V.CVB,PRS ] DEL(r) s i > $
^ < c a r b o n i z z a r [ V.CVB,PRS ] INS(ndo) s i > $
^ < b u c h e r e l l a [ V,SBJV,PST,3,PL ] INS(sse) r e > $
