^ < n ǟ [ V,ACT,FIN,IND,POS,FUT,PRF,PL,2 ] INS(nõ) d õ > $
^ < n ǟ d [ V,ACT,FIN,IND,POS,FUT,PRF,PL,2 ] DEL(õ) > $
^ < k u o l m õ [ ADJ,SG,PRT ] DEL(z) > $
^ < k u o l m õ z [ ADJ,SG,PRT ] INS(ndt) > $
^ < l i k k õ [ V,ACT,FIN,IND,POS,FUT,PRF,PL,2,LGSPEC5 ] INS(nd) > $
^ < v [ V,PASS,V.PTCP ] DEL(ȱ) l d a > $
^ < v ȱ [ V,PASS,V.PTCP ] INS(ȯ) l d a > $
^ < v ȱ l [ V,PASS,V.PTCP ] INS(dõ) d a > $
^ < v ȱ l d [ V,PASS,V.PTCP ] DEL(a) > $
^ < n i m s õ n ā [ N,SG,INS ] INS(ks) > $
^ < l [ N,PL,NOM ] DEL(äpš) > $
^ < l ä p š [ N,PL,NOM ] INS(apst) > $
^ < a n a l ō g [ N,PL,DAT ] INS(õdõn) > $
^ < d e t s e m b õ r [ N,PL,NOM ] INS(d) > $
^ < k ū d t u o i s t [ ADJ,SG,DAT ] INS(õnd) õ n z > $
^ < k ū d t u o i s t õ n [ ADJ,SG,DAT ] DEL(z) > $
^ < e ž ž õ m p [ N,PL,IN+ESS ] DEL(ǟva) > $
^ < e ž ž õ m p ǟ v a [ N,PL,IN+ESS ] INS(äuvši) > $
^ < l e š k [ N,PL,INS ] INS(īdõks) > $
^ < v ī d s a d ā [ ADJ,PL,INS ] DEL(z) > $
^ < v ī d s a d ā z [ ADJ,PL,INS ] INS(ndõdõks) > $
^ < n ē ļ a t u o i s t õ n [ ADJ,PL,PRT ] DEL(z) > $
^ < n ē ļ a t u o i s t õ n z [ ADJ,PL,PRT ] INS(didi) > $
^ < t u o i [ ADJ,PL,IN+ESS ] INS(žis) > $
^ < i n f o r m ā t s i j [ N,SG,INS ] INS(õks) > $
^ < s u k ā [ N,PL,NOM ] INS(d) > $
^ < l i l l a [ ADJ,SG,INS ] INS(ks) > $
^ < k ū d t u o i s t õ n [ ADJ,SG,IN+ESS,LGSPEC6 ] DEL(z) > $
^ < k ū d t u o i s t õ n z [ ADJ,SG,IN+ESS,LGSPEC6 ] INS(ds) > $
^ < k u o l m s a d ā [ ADJ,SG,DAT ] DEL(z) > $
^ < k u o l m s a d ā z [ ADJ,SG,DAT ] INS(ndõn) > $
^ < l e š k n a i [ N,SG,INS ] INS(zõks) > $
^ < t ī e p [ N,PL,IN+ESS ] DEL(ǟva) > $
^ < t ī e p ǟ v a [ N,PL,IN+ESS ] INS(äuvši) > $
^ < p [ V,ACT,FIN,IND,NEG,PST,SG,3 ] DEL(ānd) a > $
^ < p ā n d a [ V,ACT,FIN,IND,NEG,PST,SG,3 ] INS(n) > $
^ < l u g s õ n ā [ N,SG,IN+ABL ] INS(st) > $
^ < i l l a t ī v [ N,SG,IN+ALL ] INS(õ) > $
^ < t ū o i z n a p [ N,PL,PRT ] DEL(ǟva) > $
^ < t ū o i z n a p ǟ v a [ N,PL,PRT ] INS(äuvḑi) > $
^ < b ō r [ N,PL,INS ] INS(õdõks) > $
^ < ī d õ k s s a d ā [ ADJ,PL,PRT ] DEL(z) > $
^ < ī d õ k s s a d ā z [ ADJ,PL,PRT ] INS(ndidi) > $
^ < m ä r t s [ N,PL,IN+ALL ] INS(iž) > $
^ < e ž ž õ m p [ N,PL,IN+ALL ] DEL(ǟva) > $
^ < e ž ž õ m p ǟ v a [ N,PL,IN+ALL ] INS(äuvži) > $
^ < p [ V,ACT,FIN,LGSPEC1,POS,PRS,PL,2 ] DEL(ānd) a > $
^ < p ā n d a [ V,ACT,FIN,LGSPEC1,POS,PRS,PL,2 ] INS(ngõd) > $
^ < f e b r u ā r [ N,SG,PRT ] INS(õ) > $
^ < d a t ī v [ N,SG,IN+ABL,LGSPEC6 ] INS(õst) > $
^ < t u o i [ ADJ,PL,DAT ] INS(ztõn) > $
^ < k a l ā m [ N,PL,IN+ALL ] DEL(īez) > $
^ < k a l ā m ī e z [ N,PL,IN+ALL ] INS(ēži) > $
^ < t [ V,ACT,FIN,DEB,POS,PRS,PL,1 ] DEL(ūlda) > $
^ < l e š k [ N,PL,IN+ABL ] INS(īst) > $
^ < s u k [ N,SG,IN+ALL ] DEL(ā) > $
^ < s u k ā [ N,SG,IN+ALL ] INS(kõ) > $
^ < k ū l õ [ V,ACT,FIN,LGSPEC1,NEG,PRS,PL,3 ] INS(gõd) > $
^ < n ē ļ a s a d ā [ ADJ,SG,IN+ABL ] DEL(z) > $
^ < n ē ļ a s a d ā z [ ADJ,SG,IN+ABL ] INS(ndõst) > $
^ < l i k k õ [ V,ACT,FIN,COND,NEG,PRS,SG,2 ] INS(kst) > $
^ < k u o l m t u o i s t [ ADJ,PL,DAT ] INS(õndõd) õ n z > $
^ < k u o l m t u o i s t õ n [ ADJ,PL,DAT ] DEL(z) > $
^ < t ū [ N,PL,DAT ] DEL(ļ) > $
^ < t ū ļ [ N,PL,DAT ] INS(ldõn) > $
^ < k ō d s a d ā [ ADJ,PL,IN+ESS ] DEL(z) > $
^ < k ō d s a d ā z [ ADJ,PL,IN+ESS ] INS(ndis) > $
^ < a d e s ī v [ N,SG,IN+ABL,LGSPEC6 ] INS(õst) > $
^ < j e l l õ [ V,ACT,FIN,IND,NEG,FUT,PRF,PL,2 ] INS(nd) > $
^ < t [ V,ACT,FIN,COND,NEG,PRS,SG,2 ] DEL(ūlda) > $
^ < l ē ḑ k ū [ N,PL,PRT ] INS(ḑi) > $
^ < ū o m õ g [ N,PL,IN+ESS ] INS(is) > $
^ < n ū o [ ADJ,PL,DAT ] DEL(ŗ) > $
^ < n ū o ŗ [ ADJ,PL,DAT ] INS(rdõn) > $
^ < ū o m õ g [ N,PL,PRT ] INS(idi) > $
^ < k u o l m õ [ ADJ,SG,INS ] DEL(z) > $
^ < k u o l m õ z [ ADJ,SG,INS ] INS(ndõks) > $
^ < n o m i n a t ī v [ N,PL,IN+ALL ] INS(iž) > $
^ < p ō r [ N,PL,DAT ] INS(õdõn) > $
^ < v ī d s a d ā [ ADJ,SG,GEN ] DEL(z) > $
^ < v ī d s a d ā z [ ADJ,SG,GEN ] INS(nd) > $
^ < v [ V,ACT,FIN,QUOT,POS,PRS,SG,1 ] DEL(ȱlda) > $
^ < v ȱ l d a [ V,ACT,FIN,QUOT,POS,PRS,SG,1 ] INS(ȯļļi) > $
^ < p [ V,ACT,FIN,IND,POS,PST,SG,3 ] DEL(ānd) a > $
^ < p ā n d a [ V,ACT,FIN,IND,POS,PST,SG,3 ] INS(ņ) > $
^ < i n e s ī v [ N,SG,IN+ABL,LGSPEC6 ] INS(õst) > $
^ < k ū l õ [ V,ACT,FIN,IND,NEG,FUT,PRF,PL,2,LGSPEC5 ] INS(nd) > $
^ < a n a l ī z [ N,PL,IN+ESS ] INS(is) > $
^ < n ū o ŗ m ī e [ N,SG,IN+ESS ] DEL(z) > $
^ < n ū o ŗ m ī e z [ N,SG,IN+ESS ] INS(sõ) > $
^ < a n a l ī z [ N,SG,IN+ESS ] INS(õs) > $
^ < k ō d k i m d õ [ ADJ,SG,GEN ] DEL(z) > $
^ < k ō d k i m d õ z [ ADJ,SG,GEN ] INS(nd) > $
^ < ū ļ [ N,PL,IN+ESS ] INS(ši) > $
^ < l i k k [ V,ACT,FIN,COND,NEG,PRS,PL,2 ] INS(õkst) õ > $
^ < l [ V,ACT,FIN,IND,POS,PST,PL,1 ] DEL(ǟd) õ > $
^ < l ǟ d [ V,ACT,FIN,IND,POS,PST,PL,1 ] INS(ekšm) õ > $
^ < s i g ž k ū [ N,PL,DAT ] INS(dõn) > $
^ < k ō d s a d ā [ ADJ,SG,IN+ESS ] DEL(z) > $
^ < k ō d s a d ā z [ ADJ,SG,IN+ESS ] INS(ndõs) > $
^ < l ǟ [ V,ACT,FIN,IND,NEG,PST,PL,1 ] DEL(dõ) > $
^ < l ǟ d õ [ V,ACT,FIN,IND,NEG,PST,PL,1 ] INS(m) > $
^ < k ū d t u o i s t õ n [ ADJ,SG,IN+ESS ] DEL(z) > $
^ < k ū d t u o i s t õ n z [ ADJ,SG,IN+ESS ] INS(dõs) > $
^ < s ȭ i r a [ N,PL,GEN ] INS(d) > $
^ < k a f f e t a s [ N,SG,IN+ALL ] INS(sõ) > $
^ < b ä z m õ r [ N,PL,NOM ] INS(d) > $
^ < j ū l i j [ N,PL,GEN ] INS(d) > $
^ < k ī l m a k ū [ N,SG,INS ] INS(kõks) > $
^ < d r ū o š [ ADJ,PL,IN+ABL ] DEL(õ) > $
^ < d r ū o š õ [ ADJ,PL,IN+ABL ] INS(ist) > $
^ < j e [ V,ACT,FIN,IND,POS,PST,PL,2 ] DEL(l) l õ > $
^ < j e l l [ V,ACT,FIN,IND,POS,PST,PL,2 ] INS(īzt) õ > $
^ < p ǟ v a [ N,SG,INS ] INS(ks) > $
^ < k ī [ N,PL,IN+ABL ] DEL(ņ) t š > $
^ < k ī ņ [ N,PL,IN+ABL ] INS(ndis) t š > $
^ < k ī ņ t [ N,PL,IN+ABL ] DEL(š) > $
^ < n ē ļ a s a d ā [ ADJ,PL,DAT ] DEL(z) > $
^ < n ē ļ a s a d ā z [ ADJ,PL,DAT ] INS(ndõdõn) > $
^ < s u o [ N,SG,IN+ABL ] DEL(ŗ) m > $
^ < s u o ŗ [ N,SG,IN+ABL ] INS(r) m > $
^ < s u o ŗ m [ N,SG,IN+ABL ] INS(stõ) > $
^ < i n s t r u m e n t ā l [ N,SG,IN+ABL ] INS(st) > $
^ < p ǟ v a ī e [ N,SG,DAT ] INS(n) > $
^ < p ȯ i š k i [ N,PL,DAT ] INS(ztõn) > $
^ < k u o l m i [ ADJ,PL,INS ] INS(ztõks) > $
^ < j ō ņ p ǟ v a   k ū [ N,SG,INS ] INS(kõks) > $
^ < v ī d k i m d õ [ ADJ,PL,INS ] DEL(z) > $
^ < v ī d k i m d õ z [ ADJ,PL,INS ] INS(ndõdõks) > $
^ < j ū n i j [ N,SG,PRT ] INS(õ) > $
^ < v ī ļ a k ū [ N,SG,IN+ABL ] INS(stõ) > $
^ < s e i s k i m [ ADJ,SG,IN+ALL ] INS(dõn) d õ z > $
^ < s e i s k i m d õ [ ADJ,SG,IN+ALL ] DEL(z) > $
^ < a š š õ [ ADJ,PL,GEN ] INS(d) > $
^ < j e m [ N,PL,IN+ALL ] DEL(ā) > $
^ < j e m ā [ N,PL,IN+ALL ] INS(īž) > $
^ < ī d õ k s t u o i s t õ n [ ADJ,SG,GEN ] DEL(z) > $
^ < ī d õ k s t u o i s t õ n z [ ADJ,SG,GEN ] INS(d) > $
^ < p [ N,PL,DAT ] DEL(ȯis) > $
^ < p ȯ i s [ N,PL,DAT ] INS(ūošõdõn) > $
^ < t ū o n t õ [ ADJ,SG,PRT ] DEL(z) > $
^ < t ū o n t õ z [ ADJ,SG,PRT ] INS(ndt) > $
^ < s u o [ N,SG,PRT ] DEL(ŗ) m > $
^ < s u o ŗ [ N,SG,PRT ] INS(r) m > $
^ < s u o ŗ m [ N,SG,PRT ] INS(õ) > $
^ < t [ V,LGSPEC3 ] DEL(ūlda) > $
^ < t ū l d a [ V,LGSPEC3 ] INS(ulmõ) > $
^ < m ǟ d l õ [ V,ACT,FIN,COND,POS,PRS,SG,2 ] INS(kst) > $
^ < ǟ m [ N,PL,PRT ] DEL(a) > $
^ < ǟ m a [ N,PL,PRT ] INS(idi) > $
^ < b l ē ḑ [ N,PL,PRT ] INS(idi) > $
^ < l [ V,ACT,FIN,QUOT,POS,PRS,PL,1 ] DEL(ǟ) d õ > $
^ < l ǟ [ V,ACT,FIN,QUOT,POS,PRS,PL,1 ] INS(ēji) d õ > $
^ < l ǟ d [ V,ACT,FIN,QUOT,POS,PRS,PL,1 ] DEL(õ) > $
^ < p i ņ [ N,SG,INS ] INS(kõks) > $
^ < t ū o n t õ [ ADJ,SG,INS ] DEL(z) > $
^ < t ū o n t õ z [ ADJ,SG,INS ] INS(ndõks) > $
^ < b ō r [ N,SG,IN+ESS ] INS(sõ) > $
^ < l [ N,PL,INS ] DEL(äpš) > $
^ < l ä p š [ N,PL,INS ] INS(apstkõks) > $
^ < o k t ō b õ r [ N,PL,PRT ] INS(i) > $
^ < k u o l m õ n d p [ N,PL,IN+ESS ] DEL(ǟva) > $
^ < k u o l m õ n d p ǟ v a [ N,PL,IN+ESS ] INS(äuvši) > $
^ < s õ n [ N,SG,PRT ] DEL(ā) > $
^ < s õ n ā [ N,SG,PRT ] INS(nõ) > $
^ < a b l a t ī v [ N,SG,DAT ] INS(õn) > $
^ < l i k k õ [ V,ACT,FIN,IND,NEG,PRS,PL,3 ] INS(t) > $
^ < d a t t [ N,PL,IN+ALL ] DEL(õd) > $
^ < d a t t õ d [ N,PL,IN+ALL ] INS(iž) > $
^ < o k t ō b õ r [ N,SG,IN+ESS ] INS(s) > $
^ < l i k k õ [ V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1 ] INS(g) > $
^ < r ō n t õ [ N,PL,GEN ] DEL(z) > $
^ < r ō n t õ z [ N,PL,GEN ] INS(d) > $
^ < ū o m õ g [ N,SG,DAT ] INS(õn) > $
^ < ā m b a z [ N,SG,IN+ESS ] INS(õs) > $
^ < v ī d t u o i s t õ n [ ADJ,SG,INS ] DEL(z) > $
^ < v ī d t u o i s t õ n z [ ADJ,SG,INS ] INS(dõks) > $
^ < v [ V,ACT,FIN,COND,NEG,PRS,PL,1 ] DEL(ȱlda) > $
^ < v ȱ l d a [ V,ACT,FIN,COND,NEG,PRS,PL,1 ] INS(ȯlksmõ) > $
^ < n ū o ŗ p ō ŗ [ N,PL,IN+ALL ] INS(iž) > $
^ < v [ V,ACT,FIN,COND,POS,PRS,PL,3 ] DEL(ȱlda) > $
^ < v ȱ l d a [ V,ACT,FIN,COND,POS,PRS,PL,3 ] INS(ȯlkstõ) > $
^ < v ī m k ū [ N,PL,GEN ] INS(d) > $
^ < j o u t õ m l [ N,SG,INS ] DEL(äpš) > $
^ < j o u t õ m l ä p š [ N,SG,INS ] INS(apsõks) > $
^ < j e m ā [ N,PL,NOM ] INS(d) > $
^ < s i ḑ ī m s õ n ā [ N,PL,NOM ] INS(d) > $
^ < ā m b a z [ N,PL,IN+ESS ] INS(is) > $
^ < [ V,ACT,FIN,IND,NEG,FUT,PRF,PL,1,LGSPEC5 ] DEL(tū) l d a > $
^ < t ū l d [ V,ACT,FIN,IND,NEG,FUT,PRF,PL,1,LGSPEC5 ] DEL(a) > $
^ < [ V,ACT,FIN,IND,POS,FUT,PRF,SG,3 ] DEL(tū) l d a > $
^ < t ū l d [ V,ACT,FIN,IND,POS,FUT,PRF,SG,3 ] DEL(a) > $
^ < t i d ā r [ N,SG,IN+ESS ] INS(õs) > $
^ < n ǟ [ V,ACT,FIN,IND,POS,PRS,PL,2 ] DEL(dõ) > $
^ < n ǟ d õ [ V,ACT,FIN,IND,POS,PRS,PL,2 ] INS(t) > $
^ < m ǟ d l õ [ V,ACT,FIN,IND,POS,PRS,SG,2 ] INS(d) > $
^ < v õ ț ī m [ N,SG,IN+ALL ] INS(õ) > $
^ < a l [ N,SG,INS ] DEL(li) t a s > $
^ < a l l i [ N,SG,INS ] INS(īztõks) t a s > $
^ < a l l i t a [ N,SG,INS ] INS(ssõk) s > $
^ < t ū o n t õ [ ADJ,PL,NOM ] DEL(z) > $
^ < t ū o n t õ z [ ADJ,PL,NOM ] INS(ndõd) > $
^ < n ä d ī ļ [ N,SG,PRT ] INS(t) > $
^ < s e i s k i m d õ [ ADJ,PL,IN+ABL ] DEL(z) > $
^ < s e i s k i m d õ z [ ADJ,PL,IN+ABL ] INS(ndist) > $
^ < l ǟ [ V,ACT,FIN,COND,NEG,PRS,PL,3 ] DEL(d) õ > $
^ < l ǟ d [ V,ACT,FIN,COND,NEG,PRS,PL,3 ] INS(kst) õ > $
^ < n ū o ŗ p ō r [ N,SG,INS ] INS(õks) > $
^ < v ī ļ a k ū [ N,SG,PRT ] INS(dõ) > $
^ < l [ V,ACT,FIN,IND,POS,PST,PL,2 ] DEL(ǟd) õ > $
^ < l ǟ d [ V,ACT,FIN,IND,POS,PST,PL,2 ] INS(ekšt) õ > $
^ < k ū l õ [ V,ACT,FIN,IND,POS,FUT,PRF,SG,2 ] INS(n) > $
^ < l e š k n a [ N,PL,PRT ] INS(iž) i > $
^ < d r ū o š õ [ ADJ,SG,IN+ESS ] INS(s) > $
^ < s e i s m i [ ADJ,SG,PRT ] INS(zt) > $
^ < k i n ō [ N,PL,DAT ] INS(dõn) > $
^ < k ū o r a [ N,SG,IN+ABL ] INS(st) > $
^ < k a f f e t a s [ N,SG,IN+ABL ] INS(sõst) > $
^ < j e l l õ [ V,LGSPEC2 ] INS(s) > $
^ < n ū o ŗ p ō ŗ [ N,SG,IN+ESS ] INS(šõ) > $
^ < k ō d t u o i s t [ ADJ,PL,DAT ] INS(õndõd) õ n z > $
^ < k ō d t u o i s t õ n [ ADJ,PL,DAT ] DEL(z) > $
^ < ȭ d õ g [ N,PL,PRT ] INS(idi) > $
^ < l ī [ V,ACT,FIN,IND,NEG,PRS,PL,2 ] DEL(d) õ > $
^ < l ī d [ V,ACT,FIN,IND,NEG,PRS,PL,2 ] INS(t) õ > $
^ < b ä z m õ r [ N,SG,INS ] INS(õks) > $
^ < j e l l õ [ V,ACT,FIN,IND,POS,FUT,PRF,SG,1 ] INS(n) > $
^ < m ǟ d l õ [ V,ACT,FIN,LGSPEC1,NEG,PRS,SG,3 ] INS(g) > $
^ < p [ V,LGSPEC2 ] DEL(ānd) a > $
^ < p ā n d a [ V,LGSPEC2 ] INS(ndsõ) > $
^ < p ō ŗ [ N,SG,IN+ALL ] INS(õ) > $
^ < m ȭ k a [ N,SG,IN+ESS ] INS(s) > $
^ < [ V,ACT,FIN,IND,NEG,FUT,PRF,SG,1 ] DEL(vȱ) l d a > $
^ < v ȱ l d [ V,ACT,FIN,IND,NEG,FUT,PRF,SG,1 ] DEL(a) > $
^ < b ä z m õ r [ N,PL,IN+ESS ] INS(is) > $
^ < n ē ļ a k i m d õ [ ADJ,PL,IN+ESS ] DEL(z) > $
^ < n ē ļ a k i m d õ z [ ADJ,PL,IN+ESS ] INS(ndis) > $
^ < a p r i l [ N,PL,IN+ABL ] INS(ist) > $
^ < j e l [ V,ACT,FIN,IND,NEG,PST,SG,1 ] DEL(lõ) > $
^ < a p r i l [ N,SG,IN+ALL ] INS(õ) > $
^ < n i m s õ n ā [ N,SG,IN+ESS ] INS(s) > $
^ < t ī e p [ N,SG,PRT ] DEL(ǟva) > $
^ < t ī e p ǟ v a [ N,SG,PRT ] INS(äuvõ) > $
^ < d e t s e m b õ r [ N,PL,IN+ALL ] INS(iž) > $
^ < k ū d t u o i s t õ n [ ADJ,PL,INS ] DEL(z) > $
^ < k ū d t u o i s t õ n z [ ADJ,PL,INS ] INS(dõdõks) > $
^ < a t r ā i t [ N,PL,IN+ESS ] DEL(a) > $
^ < a t r ā i t a [ N,PL,IN+ESS ] INS(is) > $
^ < i k š l u g [ N,SG,IN+ABL ] INS(stõ) > $
^ < ī d õ k s s a d ā [ ADJ,SG,IN+ALL ] DEL(z) > $
^ < ī d õ k s s a d ā z [ ADJ,SG,IN+ALL ] INS(ndõ) > $
^ < v ȯ l m s õ [ N,PL,PRT ] DEL(nā) > $
^ < v ȯ l m s õ n ā [ N,PL,PRT ] INS(ņḑi) > $
^ < p ä r s ō n [ N,PL,IN+ABL ] INS(ist) > $
^ < l u g s õ n ā [ N,SG,DAT ] INS(n) > $
^ < k ū o r a [ N,PL,NOM ] INS(d) > $
^ < v [ V,ACT,FIN,QUOT,POS,PRS,SG,3 ] DEL(ȱlda) > $
^ < v ȱ l d a [ V,ACT,FIN,QUOT,POS,PRS,SG,3 ] INS(ȯļļi) > $
^ < a b [ N,SG,DAT ] INS(bõn) > $
^ < k ū d õ [ ADJ,SG,GEN ] DEL(z) > $
^ < k ū d õ z [ ADJ,SG,GEN ] INS(nd) > $
^ < k i n [ N,PL,PRT ] DEL(ō) > $
^ < k i n ō [ N,PL,PRT ] INS(īdi) > $
^ < m ǟ d l [ V,ACT,FIN,IND,POS,PST,PL,1 ] INS(izm) õ > $
^ < l ī [ V,ACT,FIN,QUOT,POS,PRS,SG,3 ] DEL(dõ) > $
^ < l ī d õ [ V,ACT,FIN,QUOT,POS,PRS,SG,3 ] INS(ji) > $
^ < s u o [ N,SG,IN+ALL ] DEL(ŗ) m > $
^ < s u o ŗ [ N,SG,IN+ALL ] INS(r) m > $
^ < s u o ŗ m [ N,SG,IN+ALL ] INS(õ) > $
^ < j e m ā [ N,PL,INS ] INS(dõks) > $
^ < k ū d k i m d õ [ ADJ,PL,NOM ] DEL(z) > $
^ < k ū d k i m d õ z [ ADJ,PL,NOM ] INS(ndõd) > $
^ < ǟ m [ N,PL,IN+ALL ] DEL(a) > $
^ < ǟ m a [ N,PL,IN+ALL ] INS(iž) > $
^ < m ǟ d l õ [ V,ACT,FIN,COND,POS,PRS,SG,3 ] INS(ks) > $
^ < j e [ V,ACT,FIN,COND,POS,PRS,PL,1 ] DEL(l) l õ > $
^ < j e l l [ V,ACT,FIN,COND,POS,PRS,PL,1 ] INS(āksm) õ > $
^ < n ū o ŗ m [ N,PL,IN+ESS ] DEL(īez) > $
^ < n ū o ŗ m ī e z [ N,PL,IN+ESS ] INS(ēši) > $
^ < a n a l ī z [ N,PL,IN+ABL ] INS(ist) > $
^ < j e l [ V,ACT,FIN,IND,NEG,PRS,SG,2 ] DEL(lõ) > $
^ < k u o l m s a d ā [ ADJ,SG,INS ] DEL(z) > $
^ < k u o l m s a d ā z [ ADJ,SG,INS ] INS(ndõks) > $
^ < b ō r [ N,SG,INS ] INS(õks) > $
^ < ä b k n a š [ ADJ,PL,GEN ] INS(īd) > $
^ < l ī [ V,ACT,FIN,IND,NEG,PRS,SG,1 ] DEL(dõ) > $
^ < r i š t ī n g [ N,SG,IN+ALL ] INS(õ) > $
^ < i n s t r u m e n t ā l [ N,SG,IN+ALL ] INS(õ) > $
^ < k ū l õ [ V,ACT,FIN,IND,NEG,FUT,PRF,SG,1 ] INS(n) > $
^ < [ V,ACT,FIN,IMP,PRS,NEG,SG,2 ] DEL(tūld) a > $
^ < ǟ m a [ N,PL,DAT ] INS(dõn) > $
^ < a l [ N,SG,INS ] DEL(li) > $
^ < a l l i [ N,SG,INS ] INS(īztõks) > $
^ < b l ē ḑ [ N,PL,IN+ALL ] INS(iž) > $
^ < ȭ d õ g [ N,SG,INS ] INS(õks) > $
^ < k ō d s a d ā [ ADJ,SG,INS ] DEL(z) > $
^ < k ō d s a d ā z [ ADJ,SG,INS ] INS(ndõks) > $
^ < k n a š [ ADJ,PL,IN+ESS ] INS(īs) > $
^ < t ū o n t õ [ ADJ,PL,IN+ALL ] DEL(z) > $
^ < t ū o n t õ z [ ADJ,PL,IN+ALL ] INS(ndiž) > $
^ < p ū o g a [ N,SG,DAT ] INS(n) > $
^ < i z [ N,PL,IN+ALL ] DEL(ā) > $
^ < i z ā [ N,PL,IN+ALL ] INS(īž) > $
^ < s e i s m õ z t u o i s t õ n [ ADJ,PL,IN+ABL ] DEL(z) > $
^ < s e i s m õ z t u o i s t õ n z [ ADJ,PL,IN+ABL ] INS(dist) > $
^ < k ū l õ [ V,ACT,FIN,IND,POS,FUT,PRF,SG,1 ] INS(n) > $
^ < l ē ḑ k ū [ N,SG,PRT ] INS(dõ) > $
^ < s ē m ḑ [ N,PL,IN+ESS ] DEL(a) > $
^ < s ē m ḑ a [ N,PL,IN+ESS ] INS(is) > $
^ < k i m m õ [ ADJ,PL,DAT ] DEL(z) > $
^ < k i m m õ z [ ADJ,PL,DAT ] INS(ndõdõn) > $
^ < k ū o r a [ N,PL,INS ] INS(dõks) > $
^ < j e m ā [ N,SG,INS ] INS(ks) > $
^ < k u o l m õ n d p [ N,PL,IN+ALL ] DEL(ǟva) > $
^ < k u o l m õ n d p ǟ v a [ N,PL,IN+ALL ] INS(äuvži) > $
^ < t [ N,SG,IN+ESS,LGSPEC6 ] DEL(ōvaz) > $
^ < t ō v a z [ N,SG,IN+ESS,LGSPEC6 ] INS(ouvs) > $
^ < m ī e [ N,SG,GEN ] DEL(z) > $
^ < b o ŗ [ N,PL,INS ] INS(īdõks) > $
^ < r ō n t [ N,PL,PRT ] DEL(õz) > $
^ < r ō n t õ z [ N,PL,PRT ] INS(idi) > $
^ < ä l [ N,SG,INS ] INS(lõks) > $
^ < p [ N,PL,IN+ALL ] DEL(ǟ) > $
^ < p ǟ [ N,PL,IN+ALL ] INS(ēži) > $
^ < a l ī z [ ADJ,PL,DAT ] INS(tõn) > $
^ < n ū o ŗ p ō r [ N,SG,IN+ABL ] INS(stõ) > $
^ < n ǟ [ V,ACT,FIN,COND,NEG,PRS,PL,2 ] DEL(d) õ > $
^ < n ǟ d [ V,ACT,FIN,COND,NEG,PRS,PL,2 ] INS(kst) õ > $
^ < s e i s m õ [ ADJ,SG,INS ] DEL(z) > $
